VB,machine_1.0,machine_2.0,machine_3.0,tool,C,torque_x_mean,torque_x_max,torque_x_min,torque_x_rms,torque_y_mean,torque_y_max,torque_y_min,torque_y_rms,torque_z_std,torque_z_min,f_sens_mean,f_sens_max,f_sens_min,f_sens_rms,fx_sens_mean,fx_sens_rms,fx_sens_skew,fy_sens_mean,fy_sens_max,fy_sens_rms,fz_sens_mean,fx_mean,fx_rms,fy_max,log_C
0.0,1.0,0.0,0.0,1.0,0.0,0.11335863266822242,0.09784778231933462,0.06079665297504064,0.11321706398826813,0.9145748789869854,0.7266869887303655,0.9392970029880813,0.08282487937315691,0.027583603945915615,0.8916956414009923,0.0,0.0,0.0,0.0,0.036712363708870335,0.0,0.5645103858257132,0.007964783512229073,0.0,0.011185025970014953,0.9696552667928614,,,,0.0
0.0,1.0,0.0,0.0,1.0,0.0007736943907156673,0.11807262409938778,0.1369865764014808,0.10482223599838147,0.11880006163629403,0.912980510613647,0.7202570439001926,0.910542677801739,0.08510295672109174,0.03264993397842657,0.8700368283639427,0.0027664325269786505,0.0027664325269786505,0.0027664325269786505,0.0027664364899399716,0.042135548279406354,0.0042170702413922324,0.5643615269196476,0.008839047858700669,0.0007551944791170032,0.010295857617097219,0.9679388199280078,,,,0.050391886197066894
0.006369426751592357,1.0,0.0,0.0,1.0,0.0015473887814313346,0.13226316571909302,0.14872836408499387,0.10691842293795097,0.13278264029462858,0.9074632793383686,0.7331184070042933,0.9456873229644357,0.09047241299299345,0.07765184362208256,0.8808669701263074,0.0051482519350577426,0.0051482519350577426,0.0051482519350577426,0.0051482576042956325,0.047062531863210015,0.007958154794791792,0.564055903637695,0.011122629763117734,0.0017724496627211735,0.00925676999800895,0.964343712174639,,,,0.0887987452833996
0.012738853503184714,1.0,0.0,0.0,1.0,0.0023210831721470018,0.07742436924548607,0.09002022278139768,0.06079665297504064,0.07802828673798119,0.9075149532667727,0.723472016315279,0.920127507087116,0.09028936560097259,0.037665568368895,0.8700368283639427,0.006991712760651083,0.006991712760651083,0.006991712760651083,0.006991711116001899,0.05057189495518947,0.010764694307129922,0.564007873007577,0.013739495781418086,0.0073742119032464675,0.008653769273098879,0.9621585780286604,,,,0.11984011577593479
0.01910828025477707,1.0,0.0,0.0,1.0,0.003094777562862669,0.14638488198347505,0.14285747024323733,0.14675077815122728,0.14668300606666704,0.902600584489546,0.7331184070042933,0.897763501877128,0.09519138665836342,0.07516654434759602,0.884477017380429,0.008464746622643113,0.008464746622643113,0.008464746622643113,0.008464755131380784,0.05277359134319345,0.012686474634967112,0.5639592420367414,0.016058631603351064,0.0055502163398166385,0.009421235704552663,0.9585507622165322,,,,0.14589151185168137
0.025477707006369428,1.0,0.0,0.0,1.0,0.0038684719535783366,0.18601301521232544,0.1761253704836271,0.18867932030407308,0.18580647231983524,0.9033584687728119,0.739549825278221,0.964856818865401,0.09412701466164002,0.03527160749466481,0.8953071591427938,0.009458438712623238,0.009458438712623238,0.009458438712623238,0.009458438774808894,0.05603202196956709,0.014446046113680524,0.563669145981602,0.017124863297814083,0.01034002522373974,0.009038903828878302,0.9556265840833261,,,,0.1683372504256284
0.03184713375796178,1.0,0.0,0.0,1.0,0.004448742746615087,0.130894502105952,0.13307234825590467,0.12369037350591777,0.13136513017551024,0.8965406779738201,0.7491948243814668,0.8849843259525166,0.10152387449652017,0.07783710775998792,0.8772561876283459,0.008683946766332037,0.008683946766332037,0.008683946766332037,0.008683948326196386,0.05517242681366549,0.01383167784865058,0.5637727140459491,0.019612307638303978,0.003119352430657335,0.007671318946804922,0.9513759453998876,,,,0.18334544675366435
0.05732484076433121,1.0,0.0,0.0,1.0,0.008704061895551257,0.13452557202181262,0.1389432919172843,0.12997882758326046,0.13487997775525998,0.8857234043100811,0.7556262426553946,0.9041538218534824,0.11239823814406173,0.032440898678223355,0.84115497984329,0.00789008711140907,0.00789008711140907,0.00789008711140907,0.007890086224051698,0.06119218535717623,0.015396423931015146,0.5628185982409618,0.027567158054205586,0.007010920260183453,0.001978224236839507,0.932317344732669,,,,0.26441817894290387
0.06369426751592357,1.0,0.0,0.0,1.0,0.009477756286266925,0.2107483284788516,0.20352237688226008,0.2201261805695116,0.2108577203431295,0.8830569504106497,0.723472016315279,0.87539949666714,0.11503983214375633,0.07903959976477865,0.8519851216056548,0.009177059928932184,0.009177059928932184,0.009177059928932184,0.009177068442353047,0.06389746558491526,0.016935801587760126,0.5625158622171834,0.02907381585157497,0.014949181884455856,0.0029304167129458733,0.9321906677397732,,,,0.27562767723831216
0.07006369426751592,1.0,0.0,0.0,1.0,0.010058027079303675,0.14572389885405004,0.14677169838881346,0.1383652832033895,0.1460801461904039,0.8808757562756604,0.7299034345892068,0.9233233177544476,0.11738057793793052,0.04073099719944959,0.8555951688597764,0.010446696783794233,0.010446696783794233,0.010446696783794233,0.010446698355247995,0.0654225319488737,0.01876906230279714,0.5625274890718253,0.030362089190224182,0.016145452073409228,0.003090145359484131,0.9284433219958408,,,,0.283554775369515
